#separator:tab
#html:true
What's the definition of the dot product?	<br>\[\vec x \cdot \vec y = \sum_{i=1}^n x_iy_i,\ \ \vec x, \vec y \in \mathbb{R}^n\]
<div>What is the quadratic form of a matrix?</div>	For any&nbsp;\(A \in \mathbb{R}^{n \times n}\),&nbsp;\(\vec x \in \mathbb{R}^n\), we have:<div>\(\vec x^TA \vec x = \sum_{i=1}^n x_i(Ax)_i = \sum_{i=1}^n x_i (\sum_{j=1}^n A_{ij}x_j) = \sum_{i=1}^n \sum_{j=1}^n A_{ij}x_ix_j\)<br></div><div><br></div><div>Furthermore, if the matrix&nbsp;\(A\)&nbsp;is symmetric:</div><div>\(x^TAx = x^T(\frac{1}{2}A + \frac{1}{2}A^T)x\)<br></div>
What is a positive definite matrix? What is a positive semidefinite matrix?	A positive definite matrix is a symmetric matrix such that:<div>\[(\forall) x \in \mathbb{R}^n\ \text{non-zero,}\  x^TAx &gt; 0\]</div><div>The set of such matrices is denoted&nbsp;\(S_{++}^n\).<div>A positive semidefinite matrix is a symmetric matrix such that:</div><div>\[(\forall) x \in \mathbb{R}^n\ \text{non-zero,}\  x^TAx \geq 0\]</div><div>The set of such matrices is denoted&nbsp;\(S_{+}^n\).</div></div>
What is a negative definite matrix? What is a negative semidefinite matrix?	A negative definite matrix is a symmetric matrix such that:<div><br></div>\((\forall) x \in \mathbb{R}^n\)&nbsp;non-zero, \(x^TAx &lt; 0\)<div><div><br></div><div>A negative semidefinite matrix is a symmetric matrix such that:<br></div></div><div><br></div>\((\forall) x \in \mathbb{R}^n\)&nbsp;non-zero,&nbsp;\(x^TAx \leq 0\)
What is a property of positive/negative definite matrices regarding their rank?&nbsp;	They are full rank matrices.
What is the definition of an eigenvector and an eigenvalue for a given square matrix&nbsp;\(A\)?	<div>\(A\in \mathbb{R}^{n \times n}\),&nbsp;\(\lambda \in \mathbb{C}\),&nbsp;\(\vec x \in \mathbb{C}^n\)</div><div><br></div>\(\lambda\)&nbsp;and&nbsp;\(\vec x\)&nbsp;are eigenvalues and eigenvectors, respectively if:<div>\[A \vec x = \lambda \vec x \iff (A - \lambda I_n) \vec x = \vec 0\]</div><div>Additionally, an intuition for this is that an eigenvector is a vector in that matrix's column space/range that only gets scaled when the matrix is multiplied by it.</div><div><br></div><div>If we see&nbsp;\(A \vec x\)&nbsp;as a linear transformation,&nbsp;\(A\)&nbsp;only scales the vector, it does not rotate it.</div>
What are some properties of the eigenvectors and eigenvalues?<br>(hints: trace, determinant, rank, eigenvalues of a diagonal matrix)	<div>\[\mathrm{tr}A = \sum_{i=1}^n \lambda_i\]</div><div>\[|A| = \prod_{i=1}^n \lambda_i\]</div><div>\[\mathrm{rank}(A) = |\{\lambda_i :  \lambda_i \neq 0\}|\]</div><div>\[Ax = \lambda x \Rightarrow A^{-1}x = \frac{1}{\lambda}x\]</div><div>\[A = \mathrm{diag}(d_1, d_2, ..., d_n) = \mathrm{diag}(\lambda_1, \lambda_2, ..., \lambda_n)\]</div>
What is an indefinite matrix?	Any matrix for which&nbsp;\((\exists) x_1, x_2 \in \mathbb{R}^n\)&nbsp;such that:<div>\[\begin{aligned}x_1^TAx_1 &amp;&gt; 0 \\x_2^TAx_2 &amp;&lt; 0\end{aligned}\]</div>
What is a linear subspace of&nbsp;\(\mathbb{R}^n\)?	A linear subspace is a set of vectors&nbsp;\(\mathbb{V}\)&nbsp;included in&nbsp;\(\mathbb{R}^n\)&nbsp;that is:<div><div><br></div><div>1. Closed under scalar multiplication:</div><div>\(\vec v \in \mathbb{V} \implies c \vec v \in \mathbb{V}, (\forall) c \in \mathbb{R}\)<br></div><br><div>2. Closed under vector addition:</div><div>\(\vec u, \vec v \in \mathbb{V}, \vec u + \vec v \in \mathbb{V}\)<br></div><br><div>3. Inclusive of&nbsp;\(\vec 0\)&nbsp;.</div></div>
What is the intuition for the basis of a subspace?	It is the minimum set of vectors that spans the subspace (no redundancy).
What is the definition of a basis?	<div>A basis is a set of linearly independent vectors which span the entirety of a particular vector space. More formally, let&nbsp;\(\mathbb{S} = \{\vec v_1,\vec v_2, ..., \vec v_n \}\)&nbsp;be a set of linearly independent vectors.&nbsp;If&nbsp;\(\mathbb{V}\)&nbsp;is a linear subspace,&nbsp;\(\mathbb{S}\)&nbsp;is its basis if&nbsp;\(\mathbb{V} = span(\mathbb{S})\).</div>
What is the Cauchy-Schwartz inequality for vectors?	"<div><div>\(|\vec x \cdot \vec y| \leq \|\vec x\| \cdot \|\vec y\|,\ (\forall) x, y \in \mathbb{R}^n\)</div><div></div><div></div><div><br></div><div><span style=""color: rgb(5, 1, 1);"">They're only equal if:&nbsp;</span>\(|\vec x \cdot \vec y| = \|\vec x\| \cdot \|\vec y\| \iff \vec x = c\vec y, c \in \mathbb{R}\)<br></div><div></div><div><span style=""color: rgb(5, 1, 1);"">This is because the dot product also includes&nbsp;</span>\(\cos \theta\)<span style=""color: rgb(5, 1, 1);"">&nbsp;which is always less than or equal to 1!</span></div></div><div><br></div><div><br></div>"
How can the dot product of two vectors be expressed in terms of their angle?	\(\vec a \cdot \vec b = \|a\| \cdot \|b\| \cdot \cos\theta\)<br>
What is the geometric interpretation of the cross product of two vectors in&nbsp;\(\mathbb{R}^3\)?	<div>It's the vector which is:</div><div>- perpendicular in direction to the parallelogram that the initial vectors describe, using the right-hand rule</div><div>- equal in length to the area of the parallelogram</div>
What is an expression of the cross product of two vectors in terms of their angle?	\(\vec a \times \vec b = \|\vec a\| \cdot \|\vec b\| \cdot \sin\theta\)
What is a linear transformation?	<div>\(T:\mathbb{R}^n \rightarrow \mathbb{R}^m\)&nbsp;is a linear transformation if&nbsp;\((\forall) \vec a, \vec b \in \mathbb{R}^n\):</div><div>\[\begin{align} T(\vec a + \vec b) &amp;= T(\vec a)+T(\vec b) \\ T(c\vec a) &amp;= cT(\vec a), (\forall) c \in \mathbb{R}\end{align}\]</div>
How can we express a linear transformation of a vector in terms of a matrix?	All linear transformations can be expressed as a matrix-vector multiplication. Conversely, all matrix-vector mutliplications are linear transformations (apply the definition to prove).<div><br></div><div>[$] T:\mathbb{R}^m \rightarrow \mathbb{R}^n[/$]<br></div><div>[$] T(\overrightarrow x) = A\overrightarrow x [/$]<br></div>
What is the standard basis for&nbsp;\(\mathbb{R}^n\)?	<div>The standard basis is a set of n orthonormal vectors that span the entirety of&nbsp;\(\mathbb{R}^n\). They actually form the identity matrix with n dimensions:</div><div>\[I_n = \begin{bmatrix}1 &amp; 0 &amp; \dots &amp; 0 \\0 &amp; 1 &amp; \dots &amp; 0 \\\vdots &amp; \vdots &amp; \ddots &amp; \vdots \\0 &amp; 0 &amp; \dots &amp; 1\end{bmatrix} = \begin{bmatrix}| &amp; | &amp; \dots &amp; | \\\vec e_1 &amp; \vec e_2 &amp; \dots &amp; \vec e_n \\| &amp; | &amp; \dots &amp; |\end{bmatrix}\]</div>The columns&nbsp;\(\{\vec e_1, \vec e_2, ..., \vec e_n\}\)&nbsp;form the standard basis for&nbsp;\(\mathbb{R}^n\).
What is the image of a transformation? What is the preimage of a set under a transformation T?	Let&nbsp;\(T: \mathbb{X} \rightarrow \mathbb{Y},\ \mathbb{A} \subset \mathbb{X},\ \mathbb{S} \subset \mathbb{Y}\)&nbsp;be a transformation. Then:<div><br>\[\text{Im}(T) = T(\mathbb{A}) = \{ T(\vec x) | \vec x \in \mathbb{A} \}\]<br></div><div>\[\text{Preim}(T, \mathbb{S})=T^{-1}(\mathbb{S}) = \{\vec x \in \mathbb{X} | T(\vec x) \in \mathbb{S}\}\]<br></div>
What is the kernel of a transformation?	\[\text{kernel}(T) = \{\vec x \in \mathbb{R}^n | T(\vec x) = \vec 0 \}\]<br>
How do transformations behave under addition, multiplication with a scalar?	[$] (S+T)(\overrightarrow x) = S(\overrightarrow x) + T(\overrightarrow x)[/$]<br><div>[$] (cS)(\overrightarrow x) = cS(\overrightarrow x) [/$]</div>
What's an intuition for what vector projection is?	"Projecting a vector onto a line is similar to the shadow when shining a light perpendicularly on an object. You can also see it as how much of the vector is ""going"" in a certain direction."
How do you normalise a vector?	<div>For any vector&nbsp;\(\vec v \in \mathbb{R}^n, \|\vec v\| \neq 1\), normalising it is done as:&nbsp;</div><div>\[\hat{u} = \frac{1}{||v||}\vec v\]</div>
What are the values for the trigonometric functions for 30-, 45-, 60-degree angles?	"<pre>[latex]<pre>\begin{center}
\begin{tabular}{ |c|c|c|c| } 
\hline 
 $\theta$ &amp; $\frac{\pi}{6}$ &amp; $\frac{\pi}{4}$ &amp; $\frac{\pi}{3}$ \\  </pre><pre>\hline</pre><pre> $sin \theta$ &amp; $\frac{1}{2}$ &amp; $\frac{\sqrt{2}}{2}$ &amp; $\frac{\sqrt{3}}{2}$ \\</pre><pre> $cos \theta$ &amp; $\frac{\sqrt{3}}{2}$ &amp; $\frac{\sqrt{2}}{2}$ &amp; $\frac{1}{2}$ \\
 $tan \theta$ &amp; $\frac{\sqrt{3}}{3}$ &amp; 1 &amp; $\sqrt{3}$ \\
 $ctg \theta$ &amp; $\sqrt{3}$ &amp; 1 &amp; $\frac{\sqrt{3}}{3}$ \\
 \hline
\end{tabular}&nbsp;\end{center}</pre>[/latex]<br></pre>"
What is one way to find out the values of trig functions on commonly used angles using a concept from linear algebra?	Nifty: if you forget the values for&nbsp;\(sin\theta, cos\theta, tan\theta, cot \theta\)&nbsp;for common&nbsp;\(\theta \in \{30^{\circ}, 45^{\circ}, 60^{\circ}\}\), you can re-derive them using the formula for the dot product and vectors which form those angles. For example,&nbsp;<div><br><div>\[\cos45^{\circ} = \frac{\begin{bmatrix} 1 \\ 0 \end{bmatrix} \cdot \begin{bmatrix} 1 \\ 1 \end{bmatrix}}{\Bigg\|\begin{bmatrix} 1 \\ 0 \end{bmatrix}\Bigg\| \cdot \Bigg\|\begin{bmatrix} 1 \\ 1 \end{bmatrix}\Bigg\|} = \frac{1}{\sqrt2}\]<br></div></div>
1. What is high bias?<div>2. What is high variance?</div>	"1. High bias means a model is underfitting the training data.<div>2. High variance means a model is overfitting the training data, i.e. the accuracy on the training data is high, but it is low on the test data.<br><div>---</div><div><img src=""Screenshot_2020-12-25_at_18.33.57.png""><br></div></div>"
